October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
TX-477,"Washington County, TX",70,82,0.7,69.3,Washington County,TX,", "
TX-479,"Webb County, TX",73.2,60,0.1,73.1,Webb County,TX,", "
TX-481,"Wharton County, TX",71.1,68,0.4,70.7,Wharton County,TX,", "
TX-483,"Wheeler County, TX",60.2,62,0.2,60,Wheeler County,TX,", "
TX-485,"Wichita County, TX",66,88,1.3,64.7,Wichita County,TX,", "
TX-487,"Wilbarger County, TX",65.5,89,1.2,64.3,Wilbarger County,TX,", "
TX-489,"Willacy County, TX",75.5,67,0.5,75,Willacy County,TX,", "
TX-491,"Williamson County, TX",68.8,76,0.7,68.1,Williamson County,TX,", "
TX-493,"Wilson County, TX",71.5,78,0.5,71,Wilson County,TX,", "
TX-495,"Winkler County, TX",64.6,69,0.4,64.2,Winkler County,TX,", "
TX-497,"Wise County, TX",66.3,81,0.7,65.6,Wise County,TX,", "
TX-499,"Wood County, TX",64.5,39,-1.1,65.6,Wood County,TX,", "
TX-501,"Yoakum County, TX",60.5,72,0.5,60,Yoakum County,TX,", "
TX-503,"Young County, TX",66.6,91,1.5,65.1,Young County,TX,", "
TX-505,"Zapata County, TX",75.5,82,1.1,74.4,Zapata County,TX,", "
TX-507,"Zavala County, TX",71.6,59,0,71.6,Zavala County,TX,", "
UT-001,"Beaver County, UT",50.8,93,1.9,48.9,Beaver County,UT,", "
UT-003,"Box Elder County, UT",51.5,110,3.3,48.2,Box Elder County,UT,", "
UT-005,"Cache County, UT",47.1,112,3,44.1,Cache County,UT,", "
UT-007,"Carbon County, UT",47.4,103,2.2,45.2,Carbon County,UT,", "
UT-009,"Daggett County, UT",44.2,98,1.9,42.3,Daggett County,UT,", "
UT-011,"Davis County, UT",53.1,118,4,49.1,Davis County,UT,", "
UT-013,"Duchesne County, UT",44.9,107,2.5,42.4,Duchesne County,UT,", "
UT-015,"Emery County, UT",52.7,101,2.1,50.6,Emery County,UT,", "
UT-017,"Garfield County, UT",50.8,100,2,48.8,Garfield County,UT,", "
UT-019,"Grand County, UT",52.1,84,1.2,50.9,Grand County,UT,", "
UT-021,"Iron County, UT",51,99,2.1,48.9,Iron County,UT,", "
UT-023,"Juab County, UT",51.8,95,1.7,50.1,Juab County,UT,", "
UT-025,"Kane County, UT",54.3,91,1.5,52.8,Kane County,UT,", "
UT-027,"Millard County, UT",52.1,88,1.4,50.7,Millard County,UT,", "
UT-029,"Morgan County, UT",48,121,3.8,44.2,Morgan County,UT,", "
UT-031,"Piute County, UT",45.6,100,1.8,43.8,Piute County,UT,", "
UT-033,"Rich County, UT",44.4,114,3.1,41.3,Rich County,UT,", "
UT-035,"Salt Lake County, UT",52.5,118,3.7,48.8,Salt Lake County,UT,", "
UT-037,"San Juan County, UT",54,85,1,53,San Juan County,UT,", "
UT-039,"Sanpete County, UT",47,104,2.3,44.7,Sanpete County,UT,", "
UT-041,"Sevier County, UT",47,94,1.8,45.2,Sevier County,UT,", "
UT-043,"Summit County, UT",42.4,114,2.8,39.6,Summit County,UT,", "
UT-045,"Tooele County, UT",52.9,102,2.5,50.4,Tooele County,UT,", "
UT-047,"Uintah County, UT",49.1,108,2.5,46.6,Uintah County,UT,", "
UT-049,"Utah County, UT",49.4,101,2.3,47.1,Utah County,UT,", "
UT-051,"Wasatch County, UT",44.7,110,3,41.7,Wasatch County,UT,", "
UT-053,"Washington County, UT",58.4,96,1.9,56.5,Washington County,UT,", "
UT-055,"Wayne County, UT",52.8,96,1.9,50.9,Wayne County,UT,", "
UT-057,"Weber County, UT",50.5,119,4.4,46.1,Weber County,UT,", "
VT-001,"Addison County, VT",48.9,104,2.5,46.4,Addison County,VT,", "
VT-003,"Bennington County, VT",47.5,102,2.4,45.1,Bennington County,VT,", "
VT-005,"Caledonia County, VT",47.1,108,2.8,44.3,Caledonia County,VT,", "
VT-007,"Chittenden County, VT",50.6,116,4,46.6,Chittenden County,VT,", "
VT-009,"Essex County, VT",46.7,113,3.3,43.4,Essex County,VT,", "
VT-011,"Franklin County, VT",50.1,115,3.9,46.2,Franklin County,VT,", "
VT-013,"Grand Isle County, VT",51.6,113,3.6,48,Grand Isle County,VT,", "
VT-015,"Lamoille County, VT",48,115,3.8,44.2,Lamoille County,VT,", "
VT-017,"Orange County, VT",48.3,113,3.3,45,Orange County,VT,", "
VT-019,"Orleans County, VT",47.4,113,3.4,44,Orleans County,VT,", "
VT-021,"Rutland County, VT",47.6,94,1.9,45.7,Rutland County,VT,", "
VT-023,"Washington County, VT",48.2,115,3.7,44.5,Washington County,VT,", "
VT-025,"Windham County, VT",48.1,95,2.1,46,Windham County,VT,", "
VT-027,"Windsor County, VT",48.2,107,2.8,45.4,Windsor County,VT,", "
VA-001,"Accomack County, VA",58.8,44,-0.7,59.5,Accomack County,VA,", "
VA-003,"Albemarle County, VA",55,39,-1.1,56.1,Albemarle County,VA,", "
VA-005,"Alleghany County, VA",50.3,13,-3.7,54,Alleghany County,VA,", "
VA-007,"Amelia County, VA",55.6,30,-1.9,57.5,Amelia County,VA,", "
VA-009,"Amherst County, VA",53.8,28,-1.9,55.7,Amherst County,VA,", "
VA-011,"Appomattox County, VA",54.5,26,-1.9,56.4,Appomattox County,VA,", "
VA-013,"Arlington County, VA",55.6,41,-1.1,56.7,Arlington County,VA,", "
VA-015,"Augusta County, VA",52,37,-1.5,53.5,Augusta County,VA,", "
VA-017,"Bath County, VA",49.8,17,-3.1,52.9,Bath County,VA,", "
VA-019,"Bedford County, VA",54.3,24,-2.2,56.5,Bedford County,VA,", "
VA-021,"Bland County, VA",48.4,14,-3.5,51.9,Bland County,VA,", "
VA-023,"Botetourt County, VA",52.2,12,-3.6,55.8,Botetourt County,VA,", "
VA-025,"Brunswick County, VA",56.4,32,-1.9,58.3,Brunswick County,VA,", "
VA-027,"Buchanan County, VA",51.1,14,-3.6,54.7,Buchanan County,VA,", "
VA-029,"Buckingham County, VA",55,28,-1.8,56.8,Buckingham County,VA,", "
VA-031,"Campbell County, VA",54.8,30,-1.7,56.5,Campbell County,VA,", "
VA-033,"Caroline County, VA",56.1,38,-1.1,57.2,Caroline County,VA,", "
VA-035,"Carroll County, VA",50.3,19,-2.5,52.8,Carroll County,VA,", "
VA-036,"Charles City County, VA",57.7,24,-2.2,59.9,Charles City County,VA,", "
VA-037,"Charlotte County, VA",54.6,22,-2.4,57,Charlotte County,VA,", "
VA-041,"Chesterfield County, VA",56.4,30,-1.9,58.3,Chesterfield County,VA,", "
VA-043,"Clarke County, VA",52.5,30,-1.8,54.3,Clarke County,VA,", "
VA-045,"Craig County, VA",50.8,15,-3.1,53.9,Craig County,VA,", "
VA-047,"Culpeper County, VA",54.1,34,-1.5,55.6,Culpeper County,VA,", "
VA-049,"Cumberland County, VA",55.1,27,-2,57.1,Cumberland County,VA,", "
VA-051,"Dickenson County, VA",51.1,13,-3.6,54.7,Dickenson County,VA,", "
VA-053,"Dinwiddie County, VA",56.4,30,-1.9,58.3,Dinwiddie County,VA,", "
VA-057,"Essex County, VA",56.7,29,-1.6,58.3,Essex County,VA,", "
VA-059,"Fairfax County, VA",55.4,44,-0.9,56.3,Fairfax County,VA,", "
VA-061,"Fauquier County, VA",53.8,40,-1.3,55.1,Fauquier County,VA,", "
VA-063,"Floyd County, VA",49.6,19,-2.9,52.5,Floyd County,VA,", "
VA-065,"Fluvanna County, VA",54.9,31,-1.8,56.7,Fluvanna County,VA,", "
VA-067,"Franklin County, VA",53.1,15,-3.1,56.2,Franklin County,VA,", "
VA-069,"Frederick County, VA",51.5,25,-2.1,53.6,Frederick County,VA,", "
VA-071,"Giles County, VA",50.5,21,-2.6,53.1,Giles County,VA,", "
VA-073,"Gloucester County, VA",57.9,26,-2.1,60,Gloucester County,VA,", "
VA-075,"Goochland County, VA",55,30,-2,57,Goochland County,VA,", "
VA-077,"Grayson County, VA",48.2,18,-2.6,50.8,Grayson County,VA,", "
VA-079,"Greene County, VA",53.5,36,-1.3,54.8,Greene County,VA,", "
VA-081,"Greensville County, VA",57.2,33,-1.8,59,Greensville County,VA,", "
VA-083,"Halifax County, VA",55.1,25,-2.4,57.5,Halifax County,VA,", "
VA-085,"Hanover County, VA",55.9,29,-1.7,57.6,Hanover County,VA,", "
VA-087,"Henrico County, VA",56.6,29,-1.8,58.4,Henrico County,VA,", "
VA-089,"Henry County, VA",54.4,18,-2.7,57.1,Henry County,VA,", "
VA-091,"Highland County, VA",47.6,17,-2.7,50.3,Highland County,VA,", "
VA-093,"Isle of Wight County, VA",58.5,30,-1.7,60.2,Isle of Wight County,VA,", "
VA-095,"James City County, VA",58,27,-2,60,James City County,VA,", "
VA-097,"King and Queen County, VA",56.4,22,-2.2,58.6,King and Queen County,VA,", "
VA-099,"King George County, VA",57.1,44,-0.6,57.7,King George County,VA,", "
VA-101,"King William County, VA",56.3,25,-2.1,58.4,King William County,VA,", "
VA-103,"Lancaster County, VA",57.4,27,-1.8,59.2,Lancaster County,VA,", "
VA-105,"Lee County, VA",52.7,12,-3.3,56,Lee County,VA,", "
VA-107,"Loudoun County, VA",53.9,45,-1.2,55.1,Loudoun County,VA,", "
VA-109,"Louisa County, VA",54.2,26,-2,56.2,Louisa County,VA,", "
VA-111,"Lunenburg County, VA",55.3,25,-2.3,57.6,Lunenburg County,VA,", "
VA-113,"Madison County, VA",52.8,34,-1.6,54.4,Madison County,VA,", "
VA-115,"Mathews County, VA",58.2,28,-2,60.2,Mathews County,VA,", "
VA-117,"Mecklenburg County, VA",56,26,-2,58,Mecklenburg County,VA,", "
VA-119,"Middlesex County, VA",57.3,23,-2.2,59.5,Middlesex County,VA,", "
VA-121,"Montgomery County, VA",51.2,20,-2.7,53.9,Montgomery County,VA,", "
VA-125,"Nelson County, VA",53.9,37,-1.5,55.4,Nelson County,VA,", "
VA-127,"New Kent County, VA",56.8,23,-2.2,59,New Kent County,VA,", "
VA-131,"Northampton County, VA",59,29,-1.5,60.5,Northampton County,VA,", "
VA-133,"Northumberland County, VA",57.5,35,-1.3,58.8,Northumberland County,VA,", "
VA-135,"Nottoway County, VA",55.5,28,-2,57.5,Nottoway County,VA,", "
VA-137,"Orange County, VA",54.2,33,-1.7,55.9,Orange County,VA,", "
VA-139,"Page County, VA",51.4,29,-1.8,53.2,Page County,VA,", "
VA-141,"Patrick County, VA",53,21,-2.4,55.4,Patrick County,VA,", "
VA-143,"Pittsylvania County, VA",54.6,19,-2.7,57.3,Pittsylvania County,VA,", "
VA-145,"Powhatan County, VA",55.4,30,-1.9,57.3,Powhatan County,VA,", "
VA-147,"Prince Edward County, VA",54.7,24,-2.3,57,Prince Edward County,VA,", "
VA-149,"Prince George County, VA",57.5,26,-2,59.5,Prince George County,VA,", "
VA-153,"Prince William County, VA",55.5,46,-0.7,56.2,Prince William County,VA,", "
VA-155,"Pulaski County, VA",50.6,18,-2.8,53.4,Pulaski County,VA,", "
VA-157,"Rappahannock County, VA",52.2,28,-1.9,54.1,Rappahannock County,VA,", "
VA-159,"Richmond County, VA",57,30,-1.5,58.5,Richmond County,VA,", "
VA-161,"Roanoke County, VA",52.5,15,-3.1,55.6,Roanoke County,VA,", "
VA-163,"Rockbridge County, VA",51.8,15,-3.1,54.9,Rockbridge County,VA,", "
VA-165,"Rockingham County, VA",51.7,36,-1.6,53.3,Rockingham County,VA,", "
VA-167,"Russell County, VA",51,15,-3.1,54.1,Russell County,VA,", "
VA-169,"Scott County, VA",53.1,13,-3.1,56.2,Scott County,VA,", "
VA-171,"Shenandoah County, VA",51.2,22,-2.3,53.5,Shenandoah County,VA,", "
VA-173,"Smyth County, VA",49.2,17,-2.9,52.1,Smyth County,VA,", "
VA-175,"Southampton County, VA",57.9,33,-1.6,59.5,Southampton County,VA,", "
VA-177,"Spotsylvania County, VA",54.8,36,-1.3,56.1,Spotsylvania County,VA,", "
VA-179,"Stafford County, VA",56.1,47,-0.4,56.5,Stafford County,VA,", "
VA-181,"Surry County, VA",58,28,-1.9,59.9,Surry County,VA,", "
VA-183,"Sussex County, VA",57.3,31,-1.8,59.1,Sussex County,VA,", "
VA-185,"Tazewell County, VA",48.7,13,-3.3,52,Tazewell County,VA,", "
VA-187,"Warren County, VA",51.7,23,-2.2,53.9,Warren County,VA,", "
VA-191,"Washington County, VA",51.7,19,-2.8,54.5,Washington County,VA,", "
VA-193,"Westmoreland County, VA",57.4,40,-1,58.4,Westmoreland County,VA,", "
VA-195,"Wise County, VA",50.7,11,-3.5,54.2,Wise County,VA,", "
VA-197,"Wythe County, VA",49.2,14,-3.2,52.4,Wythe County,VA,", "
VA-199,"York County, VA",58.5,27,-2,60.5,York County,VA,", "
VA-510,"Alexandria City, VA",56.1,43,-0.9,57,Alexandria City,VA,", "
VA-520,"Bristol City, VA",53.3,22,-2.7,56,Bristol City,VA,", "
VA-530,"Buena Vista City, VA",52.9,15,-3,55.9,Buena Vista City,VA,", "
VA-540,"Charlottesville City, VA",55.5,37,-1.2,56.7,Charlottesville City,VA,", "
VA-550,"Chesapeake City, VA",59.2,30,-1.5,60.7,Chesapeake City,VA,", "
VA-570,"Colonial Heights City, VA",57,25,-2.1,59.1,Colonial Heights City,VA,", "
VA-580,"Covington City, VA",51.4,11,-3.9,55.3,Covington City,VA,", "
VA-590,"Danville City, VA",55.6,21,-2.7,58.3,Danville City,VA,", "
VA-595,"Emporia City, VA",57.2,31,-1.9,59.1,Emporia City,VA,", "
VA-600,"Fairfax City, VA",55,42,-1.1,56.1,Fairfax City,VA,", "
VA-610,"Falls Church City, VA",55,41,-1.2,56.2,Falls Church City,VA,", "
VA-620,"Franklin City, VA",58.1,34,-1.6,59.7,Franklin City,VA,", "
VA-630,"Fredericksburg City, VA",55.8,46,-0.6,56.4,Fredericksburg City,VA,", "
VA-640,"Galax City, VA",50,22,-2.5,52.5,Galax City,VA,", "
VA-650,"Hampton City, VA",59.3,26,-2,61.3,Hampton City,VA,", "
VA-660,"Harrisonburg City, VA",53.1,42,-1.1,54.2,Harrisonburg City,VA,", "
VA-670,"Hopewell City, VA",57.5,25,-2.2,59.7,Hopewell City,VA,", "
VA-680,"Lynchburg City, VA",55.3,41,-1,56.3,Lynchburg City,VA,", "
VA-683,"Manassas City, VA",55.3,44,-0.8,56.1,Manassas City,VA,", "
VA-685,"Manassas Park City, VA",55.3,46,-0.8,56.1,Manassas Park City,VA,", "
VA-690,"Martinsville City, VA",54.4,17,-2.6,57,Martinsville City,VA,", "
VA-700,"Newport News City, VA",59,27,-2,61,Newport News City,VA,", "
VA-710,"Norfolk City, VA",59.9,28,-1.8,61.7,Norfolk City,VA,", "
VA-720,"Norton City, VA",50.7,11,-3.5,54.2,Norton City,VA,", "
VA-730,"Petersburg City, VA",57,26,-2,59,Petersburg City,VA,", "
VA-735,"Poquoson City, VA",59.1,24,-2.1,61.2,Poquoson City,VA,", "
VA-740,"Portsmouth City, VA",60,30,-1.7,61.7,Portsmouth City,VA,", "
VA-750,"Radford City, VA",51.3,20,-2.7,54,Radford City,VA,", "
VA-760,"Richmond City, VA",56.4,29,-1.9,58.3,Richmond City,VA,", "
VA-770,"Roanoke City, VA",53.6,14,-3.2,56.8,Roanoke City,VA,", "
VA-775,"Salem City, VA",53.6,14,-3.2,56.8,Salem City,VA,", "
VA-790,"Staunton City, VA",53.3,40,-1.1,54.4,Staunton City,VA,", "
VA-800,"Suffolk City, VA",58.7,32,-1.5,60.2,Suffolk City,VA,", "
VA-810,"Virginia Beach City, VA",60,29,-1.5,61.5,Virginia Beach City,VA,", "
VA-820,"Waynesboro City, VA",53.6,41,-1,54.6,Waynesboro City,VA,", "
VA-830,"Williamsburg City, VA",58,29,-1.8,59.8,Williamsburg City,VA,", "
VA-840,"Winchester City, VA",51.9,25,-2.1,54,Winchester City,VA,", "
WA-001,"Adams County, WA",55.4,127,6.4,49,Adams County,WA,", "
WA-003,"Asotin County, WA",54.7,126,6.3,48.4,Asotin County,WA,", "
WA-005,"Benton County, WA",57.7,128,5.8,51.9,Benton County,WA,", "
WA-007,"Chelan County, WA",51.9,128,8.4,43.5,Chelan County,WA,", "
WA-009,"Clallam County, WA",54,128,5.8,48.2,Clallam County,WA,", "
WA-011,"Clark County, WA",58.6,128,6.3,52.3,Clark County,WA,", "
WA-013,"Columbia County, WA",54.3,127,6.4,47.9,Columbia County,WA,", "
WA-015,"Cowlitz County, WA",57.1,128,6.9,50.2,Cowlitz County,WA,", "
WA-017,"Douglas County, WA",55.6,128,7.4,48.2,Douglas County,WA,", "
WA-019,"Ferry County, WA",49.8,128,6.8,43,Ferry County,WA,", "
WA-021,"Franklin County, WA",57.6,128,6.4,51.2,Franklin County,WA,", "
WA-023,"Garfield County, WA",54.8,127,6.5,48.3,Garfield County,WA,", "
WA-025,"Grant County, WA",56.7,128,6.5,50.2,Grant County,WA,", "
WA-027,"Grays Harbor County, WA",54.7,124,4,50.7,Grays Harbor County,WA,", "
WA-029,"Island County, WA",55.3,127,4.5,50.8,Island County,WA,", "
WA-031,"Jefferson County, WA",52.3,128,6,46.3,Jefferson County,WA,", "
WA-033,"King County, WA",56,128,7.7,48.3,King County,WA,", "
WA-035,"Kitsap County, WA",57,128,5.5,51.5,Kitsap County,WA,", "
WA-037,"Kittitas County, WA",53.7,128,8.1,45.6,Kittitas County,WA,", "
WA-039,"Klickitat County, WA",55.4,127,6.7,48.7,Klickitat County,WA,", "
WA-041,"Lewis County, WA",56,128,7.9,48.1,Lewis County,WA,", "
WA-043,"Lincoln County, WA",52.8,126,5.7,47.1,Lincoln County,WA,", "
WA-045,"Mason County, WA",54,127,4.7,49.3,Mason County,WA,", "
WA-047,"Okanogan County, WA",50.7,128,7.8,42.9,Okanogan County,WA,", "
WA-049,"Pacific County, WA",55.4,125,4,51.4,Pacific County,WA,", "
WA-051,"Pend Oreille County, WA",48,128,5.9,42.1,Pend Oreille County,WA,", "
WA-053,"Pierce County, WA",55.8,128,8.4,47.4,Pierce County,WA,", "
WA-055,"San Juan County, WA",54.9,127,4.5,50.4,San Juan County,WA,", "
WA-057,"Skagit County, WA",52.4,128,6,46.4,Skagit County,WA,", "
WA-059,"Skamania County, WA",54.4,128,7.9,46.5,Skamania County,WA,", "
WA-061,"Snohomish County, WA",53.6,128,6.4,47.2,Snohomish County,WA,", "
WA-063,"Spokane County, WA",53.3,128,7,46.3,Spokane County,WA,", "
WA-065,"Stevens County, WA",50.6,128,5.8,44.8,Stevens County,WA,", "
WA-067,"Thurston County, WA",56.2,128,5.1,51.1,Thurston County,WA,", "
WA-069,"Wahkiakum County, WA",56.3,127,5.1,51.2,Wahkiakum County,WA,", "
WA-071,"Walla Walla County, WA",57.6,126,5.8,51.8,Walla Walla County,WA,", "
WA-073,"Whatcom County, WA",51,128,6.5,44.5,Whatcom County,WA,", "
WA-075,"Whitman County, WA",55.2,127,6.5,48.7,Whitman County,WA,", "
WA-077,"Yakima County, WA",54,128,7.4,46.6,Yakima County,WA,", "
WV-001,"Barbour County, WV",50.3,29,-2.2,52.5,Barbour County,WV,", "
WV-003,"Berkeley County, WV",52.4,40,-1.3,53.7,Berkeley County,WV,", "
WV-005,"Boone County, WV",51.9,15,-3.6,55.5,Boone County,WV,", "
WV-007,"Braxton County, WV",51.9,26,-2.8,54.7,Braxton County,WV,", "
WV-009,"Brooke County, WV",50.6,29,-2.2,52.8,Brooke County,WV,", "
WV-011,"Cabell County, WV",53.8,29,-2.2,56,Cabell County,WV,", "
WV-013,"Calhoun County, WV",51.8,25,-2.7,54.5,Calhoun County,WV,", "
WV-015,"Clay County, WV",52.3,22,-2.9,55.2,Clay County,WV,", "
WV-017,"Doddridge County, WV",51.1,24,-2.6,53.7,Doddridge County,WV,", "
WV-019,"Fayette County, WV",50.5,20,-3.2,53.7,Fayette County,WV,", "
WV-021,"Gilmer County, WV",51.7,25,-2.6,54.3,Gilmer County,WV,", "
WV-023,"Grant County, WV",48.4,14,-3.3,51.7,Grant County,WV,", "
WV-025,"Greenbrier County, WV",48.4,14,-3.1,51.5,Greenbrier County,WV,", "
WV-027,"Hampshire County, WV",50.8,22,-2.6,53.4,Hampshire County,WV,", "
WV-029,"Hancock County, WV",50,24,-2.6,52.6,Hancock County,WV,", "
WV-031,"Hardy County, WV",49.9,17,-2.9,52.8,Hardy County,WV,", "
WV-033,"Harrison County, WV",51.3,26,-2.2,53.5,Harrison County,WV,", "
WV-035,"Jackson County, WV",52.5,23,-2.6,55.1,Jackson County,WV,", "
WV-037,"Jefferson County, WV",53,41,-1.3,54.3,Jefferson County,WV,", "
WV-039,"Kanawha County, WV",52.6,20,-3.3,55.9,Kanawha County,WV,", "
WV-041,"Lewis County, WV",51.5,25,-2.4,53.9,Lewis County,WV,", "
WV-043,"Lincoln County, WV",53.3,22,-2.9,56.2,Lincoln County,WV,", "
WV-045,"Logan County, WV",52.4,16,-3.5,55.9,Logan County,WV,", "
WV-047,"McDowell County, WV",50.6,15,-3.6,54.2,McDowell County,WV,", "
WV-049,"Marion County, WV",50.4,21,-3,53.4,Marion County,WV,", "
WV-051,"Marshall County, WV",50.1,21,-3,53.1,Marshall County,WV,", "
WV-053,"Mason County, WV",52.5,20,-2.9,55.4,Mason County,WV,", "
WV-055,"Mercer County, WV",48.9,10,-3.9,52.8,Mercer County,WV,", "
WV-057,"Mineral County, WV",50.5,17,-3.1,53.6,Mineral County,WV,", "
WV-059,"Mingo County, WV",53,18,-3.4,56.4,Mingo County,WV,", "
WV-061,"Monongalia County, WV",50,20,-3.1,53.1,Monongalia County,WV,", "
WV-063,"Monroe County, WV",50.4,18,-2.9,53.3,Monroe County,WV,", "
WV-065,"Morgan County, WV",51.6,31,-1.7,53.3,Morgan County,WV,", "
WV-067,"Nicholas County, WV",50.1,22,-2.8,52.9,Nicholas County,WV,", "
WV-069,"Ohio County, WV",50.8,31,-2,52.8,Ohio County,WV,", "
WV-071,"Pendleton County, WV",47.9,18,-2.9,50.8,Pendleton County,WV,", "
WV-073,"Pleasants County, WV",51.3,24,-2.8,54.1,Pleasants County,WV,", "
WV-075,"Pocahontas County, WV",46,18,-2.9,48.9,Pocahontas County,WV,", "
WV-077,"Preston County, WV",48.3,24,-2.6,50.9,Preston County,WV,", "
WV-079,"Putnam County, WV",52.9,20,-3,55.9,Putnam County,WV,", "
WV-081,"Raleigh County, WV",49.6,18,-3.5,53.1,Raleigh County,WV,", "
WV-083,"Randolph County, WV",46.6,24,-2.5,49.1,Randolph County,WV,", "
WV-085,"Ritchie County, WV",51.5,24,-2.4,53.9,Ritchie County,WV,", "
WV-087,"Roane County, WV",52.1,23,-2.8,54.9,Roane County,WV,", "
WV-089,"Summers County, WV",50.6,18,-3.2,53.8,Summers County,WV,", "
WV-091,"Taylor County, WV",51,26,-2.3,53.3,Taylor County,WV,", "
WV-093,"Tucker County, WV",46.2,20,-2.8,49,Tucker County,WV,", "
WV-095,"Tyler County, WV",50.8,18,-3.2,54,Tyler County,WV,", "
WV-097,"Upshur County, WV",50,24,-2.5,52.5,Upshur County,WV,", "
WV-099,"Wayne County, WV",53.8,27,-2.3,56.1,Wayne County,WV,", "
WV-101,"Webster County, WV",49,21,-2.5,51.5,Webster County,WV,", "
WV-103,"Wetzel County, WV",49.9,17,-3.5,53.4,Wetzel County,WV,", "
WV-105,"Wirt County, WV",52.3,27,-2.1,54.4,Wirt County,WV,", "
WV-107,"Wood County, WV",52.7,30,-2,54.7,Wood County,WV,", "
WV-109,"Wyoming County, WV",50.7,15,-3.5,54.2,Wyoming County,WV,", "
WI-001,"Adams County, WI",48,73,0.4,47.6,Adams County,WI,", "
WI-003,"Ashland County, WI",45.1,78,1,44.1,Ashland County,WI,", "
WI-005,"Barron County, WI",46.4,73,0.6,45.8,Barron County,WI,", "
WI-007,"Bayfield County, WI",45.2,82,1.1,44.1,Bayfield County,WI,", "
WI-009,"Brown County, WI",48.2,82,0.8,47.4,Brown County,WI,", "
WI-011,"Buffalo County, WI",48.8,72,0.3,48.5,Buffalo County,WI,", "
WI-013,"Burnett County, WI",46.7,82,1.1,45.6,Burnett County,WI,", "
WI-015,"Calumet County, WI",48.5,78,0.6,47.9,Calumet County,WI,", "
WI-017,"Chippewa County, WI",47,74,0.5,46.5,Chippewa County,WI,", "
WI-019,"Clark County, WI",47.1,80,1,46.1,Clark County,WI,", "
WI-021,"Columbia County, WI",48.8,66,-0.1,48.9,Columbia County,WI,", "
WI-023,"Crawford County, WI",48.6,51,-1.2,49.8,Crawford County,WI,", "
WI-025,"Dane County, WI",49.9,74,0.4,49.5,Dane County,WI,", "
WI-027,"Dodge County, WI",48.5,53,-0.6,49.1,Dodge County,WI,", "
WI-029,"Door County, WI",47.1,57,-0.2,47.3,Door County,WI,", "
WI-031,"Douglas County, WI",46,92,1.7,44.3,Douglas County,WI,", "
WI-033,"Dunn County, WI",47.7,71,0.4,47.3,Dunn County,WI,", "
WI-035,"Eau Claire County, WI",47.6,74,0.5,47.1,Eau Claire County,WI,", "
WI-037,"Florence County, WI",45,88,1.5,43.5,Florence County,WI,", "
WI-039,"Fond du Lac County, WI",48.5,70,0.1,48.4,Fond du Lac County,WI,", "
WI-041,"Forest County, WI",44.3,80,1.1,43.2,Forest County,WI,", "
WI-043,"Grant County, WI",49.2,52,-1.2,50.4,Grant County,WI,", "
WI-045,"Green County, WI",49.4,53,-0.6,50,Green County,WI,", "
WI-047,"Green Lake County, WI",48.6,69,0.1,48.5,Green Lake County,WI,", "
WI-049,"Iowa County, WI",49.3,69,0.1,49.2,Iowa County,WI,", "
WI-051,"Iron County, WI",44.3,74,0.8,43.5,Iron County,WI,", "
WI-053,"Jackson County, WI",47.7,75,0.5,47.2,Jackson County,WI,", "
WI-055,"Jefferson County, WI",49.5,56,-0.6,50.1,Jefferson County,WI,", "
WI-057,"Juneau County, WI",47.8,72,0.2,47.6,Juneau County,WI,", "
WI-059,"Kenosha County, WI",50.6,55,-0.7,51.3,Kenosha County,WI,", "
WI-061,"Kewaunee County, WI",47.5,67,0.2,47.3,Kewaunee County,WI,", "
WI-063,"La Crosse County, WI",48.6,59,-0.4,49,La Crosse County,WI,", "
WI-065,"Lafayette County, WI",48.6,49,-1.1,49.7,Lafayette County,WI,", "
WI-067,"Langlade County, WI",44.4,76,0.5,43.9,Langlade County,WI,", "
WI-069,"Lincoln County, WI",45.2,76,0.7,44.5,Lincoln County,WI,", "
WI-071,"Manitowoc County, WI",48.2,76,0.4,47.8,Manitowoc County,WI,", "
